count_collected_demos: 216956
len_dataset: 216956
max distance value: 214.90545654296875
Total Parameters: 2923.0M
Trainable Parameters: 2508.0M
Trainable Parameters %: 85.81%
Total Parameters: 2923.0M
Trainable Parameters: 2508.0M
Trainable Parameters %: 85.81%
decode_indices shape: (895,)
first_targets shape: (16, 90, 257152)
input_token_embeddings shape: (16, 3460, 2048)
attn_mask shape: (16, 3460, 3460)
loss_mask shape: (16, 179)
targets shape: (16, 179, 257152)
pre_logits shape: (16, 3459, 2048)
logits shape: (16, 179, 257152)
new_logits shape: (16, 179, 257152)
logp shape: (16, 179, 257152)
token_pplx shape: (16, 179)
loss shape: (16,)
Step 188: grad_norm=16.330520629882812, loss=3.658487319946289, param_norm=1665.1829833984375
Step 189: grad_norm=8.365907669067383, loss=3.5978119373321533, param_norm=1665.1829833984375
Step 190: grad_norm=6.473872184753418, loss=3.63207745552063, param_norm=1665.18310546875
Step 191: grad_norm=7.688595294952393, loss=3.6806960105895996, param_norm=1665.1832275390625
Step 192: grad_norm=7.445507526397705, loss=3.538360118865967, param_norm=1665.183349609375
Step 193: grad_norm=6.3534650802612305, loss=3.4798827171325684, param_norm=1665.1834716796875
Step 194: grad_norm=15.019535064697266, loss=3.66261887550354, param_norm=1665.1834716796875
Step 195: grad_norm=6.628945827484131, loss=3.453505754470825, param_norm=1665.18359375
Step 196: grad_norm=6.838821887969971, loss=3.5601611137390137, param_norm=1665.1837158203125
Step 197: grad_norm=9.37236213684082, loss=3.6107850074768066, param_norm=1665.1837158203125
Step 198: grad_norm=9.797263145446777, loss=3.6284825801849365, param_norm=1665.1839599609375
Step 199: grad_norm=13.8399076461792, loss=3.2957684993743896, param_norm=1665.1839599609375
Step 200: grad_norm=10.561616897583008, loss=3.7529795169830322, param_norm=1665.18408203125
Step 201: grad_norm=17.971878051757812, loss=3.5841126441955566, param_norm=1665.1842041015625
Step 202: grad_norm=12.316927909851074, loss=3.5712273120880127, param_norm=1665.184326171875
Step 203: grad_norm=7.969460964202881, loss=3.7051169872283936, param_norm=1665.1844482421875
Step 204: grad_norm=6.824568271636963, loss=3.490877866744995, param_norm=1665.1845703125
Step 205: grad_norm=8.437814712524414, loss=3.4548373222351074, param_norm=1665.1846923828125
Step 206: grad_norm=11.288459777832031, loss=3.6431069374084473, param_norm=1665.184814453125
Step 207: grad_norm=7.068356990814209, loss=3.6248879432678223, param_norm=1665.1849365234375
Step 208: grad_norm=7.489168643951416, loss=3.3924365043640137, param_norm=1665.18505859375
Step 209: grad_norm=9.059856414794922, loss=3.6191866397857666, param_norm=1665.1851806640625
Step 210: grad_norm=11.67055606842041, loss=3.5415968894958496, param_norm=1665.185302734375
Step 211: grad_norm=11.559900283813477, loss=3.4945199489593506, param_norm=1665.185302734375
Step 212: grad_norm=12.647573471069336, loss=3.539553165435791, param_norm=1665.1854248046875
Step 213: grad_norm=6.680989742279053, loss=3.5850493907928467, param_norm=1665.185546875
Step 214: grad_norm=13.765498161315918, loss=3.5067789554595947, param_norm=1665.1856689453125
Step 215: grad_norm=16.837419509887695, loss=3.6456780433654785, param_norm=1665.185791015625
Step 216: grad_norm=13.037376403808594, loss=3.454590082168579, param_norm=1665.18603515625
Step 217: grad_norm=13.709737777709961, loss=3.584738254547119, param_norm=1665.1861572265625
Step 218: grad_norm=8.53442096710205, loss=3.473818778991699, param_norm=1665.186279296875
Step 219: grad_norm=9.186836242675781, loss=3.481085777282715, param_norm=1665.1864013671875
Step 220: grad_norm=20.976802825927734, loss=3.632326126098633, param_norm=1665.1865234375
Step 221: grad_norm=16.320045471191406, loss=3.6737160682678223, param_norm=1665.186767578125
Step 222: grad_norm=15.019580841064453, loss=3.4339699745178223, param_norm=1665.1868896484375
Step 223: grad_norm=9.713312149047852, loss=3.5584471225738525, param_norm=1665.1868896484375
Step 224: grad_norm=6.416434288024902, loss=3.4760377407073975, param_norm=1665.18701171875
Step 225: grad_norm=6.788908958435059, loss=3.5533008575439453, param_norm=1665.1871337890625
Step 226: grad_norm=9.772390365600586, loss=3.4621424674987793, param_norm=1665.187255859375
Step 227: grad_norm=8.587173461914062, loss=3.3528003692626953, param_norm=1665.187255859375
Step 228: grad_norm=17.726186752319336, loss=3.734337329864502, param_norm=1665.1873779296875
Step 229: grad_norm=15.382633209228516, loss=3.557586908340454, param_norm=1665.1875
Step 230: grad_norm=17.344682693481445, loss=3.458186149597168, param_norm=1665.1876220703125
Step 231: grad_norm=9.230276107788086, loss=3.5098087787628174, param_norm=1665.187744140625
Step 232: grad_norm=5.913276672363281, loss=3.6092288494110107, param_norm=1665.18798828125
Step 233: grad_norm=8.676309585571289, loss=3.624246597290039, param_norm=1665.1881103515625
Step 234: grad_norm=15.418845176696777, loss=3.559300422668457, param_norm=1665.188232421875
Step 235: grad_norm=10.800246238708496, loss=3.519523859024048, param_norm=1665.1883544921875
Step 236: grad_norm=7.3135294914245605, loss=3.2814111709594727, param_norm=1665.1884765625
Step 237: grad_norm=12.277406692504883, loss=3.3839616775512695, param_norm=1665.188720703125
Step 238: grad_norm=13.407631874084473, loss=3.468564033508301, param_norm=1665.1888427734375
Step 239: grad_norm=9.975495338439941, loss=3.656973361968994, param_norm=1665.1890869140625
Step 240: grad_norm=18.82029151916504, loss=3.079146385192871, param_norm=1665.189208984375
Step 241: grad_norm=11.02052116394043, loss=3.5784659385681152, param_norm=1665.1893310546875
Step 242: grad_norm=9.393338203430176, loss=3.483856678009033, param_norm=1665.1895751953125
Step 243: grad_norm=11.338631629943848, loss=3.4280011653900146, param_norm=1665.189697265625
Step 244: grad_norm=12.08298397064209, loss=3.3538289070129395, param_norm=1665.18994140625
Step 245: grad_norm=5.972911834716797, loss=3.4941887855529785, param_norm=1665.1900634765625
Step 246: grad_norm=11.888236045837402, loss=3.643559455871582, param_norm=1665.190185546875
Step 247: grad_norm=11.896510124206543, loss=3.3549611568450928, param_norm=1665.1903076171875
Step 248: grad_norm=7.134720802307129, loss=3.3975300788879395, param_norm=1665.1904296875
Step 249: grad_norm=16.26641082763672, loss=3.433537006378174, param_norm=1665.190673828125
Step 250: grad_norm=16.5307559967041, loss=3.5909810066223145, param_norm=1665.190673828125
Step 251: grad_norm=9.376161575317383, loss=3.3340935707092285, param_norm=1665.19091796875
Step 252: grad_norm=5.709805965423584, loss=3.3574352264404297, param_norm=1665.191162109375
Step 253: grad_norm=12.23221492767334, loss=3.2800865173339844, param_norm=1665.1912841796875
Step 254: grad_norm=13.466619491577148, loss=3.419010639190674, param_norm=1665.19140625
Step 255: grad_norm=6.994330406188965, loss=3.4311227798461914, param_norm=1665.191650390625
Step 256: grad_norm=6.234591007232666, loss=3.4848790168762207, param_norm=1665.191650390625
Step 257: grad_norm=6.616528511047363, loss=3.4199275970458984, param_norm=1665.19189453125
Step 258: grad_norm=15.590738296508789, loss=3.4189209938049316, param_norm=1665.192138671875
Step 259: grad_norm=9.063899993896484, loss=3.5202131271362305, param_norm=1665.192138671875
Step 260: grad_norm=6.064833164215088, loss=3.4063501358032227, param_norm=1665.1923828125
Step 261: grad_norm=15.387476921081543, loss=3.3809094429016113, param_norm=1665.1925048828125
Step 262: grad_norm=6.769882678985596, loss=3.558969497680664, param_norm=1665.1927490234375
Step 263: grad_norm=12.365633010864258, loss=3.5286476612091064, param_norm=1665.19287109375
Step 264: grad_norm=9.04278564453125, loss=3.540475368499756, param_norm=1665.193115234375
Step 265: grad_norm=5.332533359527588, loss=3.5896120071411133, param_norm=1665.1932373046875
Step 266: grad_norm=9.998623847961426, loss=3.5477590560913086, param_norm=1665.1934814453125
Step 267: grad_norm=6.589430332183838, loss=3.2539753913879395, param_norm=1665.1937255859375
Step 268: grad_norm=17.106992721557617, loss=3.56964373588562, param_norm=1665.1939697265625
Step 269: grad_norm=6.3132853507995605, loss=3.4175853729248047, param_norm=1665.1942138671875
Step 270: grad_norm=18.490041732788086, loss=3.3495779037475586, param_norm=1665.1944580078125
Step 271: grad_norm=10.582680702209473, loss=3.377979278564453, param_norm=1665.1947021484375
Step 272: grad_norm=7.2832441329956055, loss=3.6068570613861084, param_norm=1665.19482421875
Step 273: grad_norm=9.326319694519043, loss=3.2818222045898438, param_norm=1665.1951904296875
Step 274: grad_norm=11.254532814025879, loss=3.2267541885375977, param_norm=1665.1953125
Step 275: grad_norm=7.234999179840088, loss=3.516812562942505, param_norm=1665.1954345703125
Step 276: grad_norm=6.2414326667785645, loss=3.490232467651367, param_norm=1665.195556640625
Step 277: grad_norm=6.156725883483887, loss=3.543147325515747, param_norm=1665.19580078125
Step 278: grad_norm=6.056405544281006, loss=3.247786521911621, param_norm=1665.1959228515625
Step 279: grad_norm=7.8639235496521, loss=3.1572117805480957, param_norm=1665.1961669921875
Step 280: grad_norm=7.918388843536377, loss=3.5232114791870117, param_norm=1665.1964111328125
Step 281: grad_norm=10.820345878601074, loss=3.3575961589813232, param_norm=1665.196533203125
Step 282: grad_norm=9.226645469665527, loss=3.3393912315368652, param_norm=1665.19677734375
Step 283: grad_norm=11.048389434814453, loss=3.3582825660705566, param_norm=1665.1971435546875
Step 284: grad_norm=6.087543487548828, loss=3.1089415550231934, param_norm=1665.1973876953125
Step 285: grad_norm=6.729580402374268, loss=3.3130199909210205, param_norm=1665.197509765625
Step 286: grad_norm=5.611654758453369, loss=3.304640054702759, param_norm=1665.19775390625
Step 287: grad_norm=10.223321914672852, loss=3.5770187377929688, param_norm=1665.197998046875
Step 288: grad_norm=9.259016036987305, loss=3.468170642852783, param_norm=1665.1982421875
Step 289: grad_norm=6.4562273025512695, loss=3.198258399963379, param_norm=1665.1986083984375
Step 290: grad_norm=10.9872407913208, loss=3.2451038360595703, param_norm=1665.19873046875
Step 291: grad_norm=7.112473964691162, loss=3.6270923614501953, param_norm=1665.198974609375
Step 292: grad_norm=5.901902198791504, loss=3.335038661956787, param_norm=1665.19921875
Step 293: grad_norm=7.0453290939331055, loss=3.428168535232544, param_norm=1665.1993408203125
Step 294: grad_norm=11.185516357421875, loss=3.412473678588867, param_norm=1665.199462890625
Step 295: grad_norm=11.893500328063965, loss=3.2221243381500244, param_norm=1665.1998291015625
Step 296: grad_norm=6.423423767089844, loss=3.3228955268859863, param_norm=1665.199951171875
